Time,Mean direction of total swell,Mean direction of wind waves,Mean period of total swell,Mean period of wind waves,Mean wave direction,Mean wave direction of first swell partition,Mean wave direction of second swell partition,Mean wave direction of third swell partition,Mean wave period,Mean wave period of first swell partition,Mean wave period of second swell partition,Mean wave period of third swell partition,Significant height of combined wind waves and swell,Significant height of total swell,Significant height of wind waves,Significant wave height of first swell partition,Significant wave height of second swell partition,Significant wave height of third swell partition
2022/07/26 10:19,272.430668153965,236.493895553397,11.0902606726235,5.67182847656149,264.702138861476,273.41474524698,37.2072372895862,210.492855360693,9.99348015881483,11.1987966180326,9.5116352773245,27.5549673864217,3.96224032374126,3.5378354281997,1.78268781553163,3.517230677346,0.458385835011082,0.0107612786240567
2022/07/26 11:19,271.947245463262,233.884498162898,11.0503347106905,5.56897459771896,264.334077666953,273.162046322245,37.6631947450961,209.026101933554,10.0153117189403,11.2041556040349,9.52798968530168,27.5523153202633,3.89616709798678,3.50880165455763,1.6930841565807,3.46676777169994,0.460879259870743,0.0104470807080259
2022/07/26 12:19,268.837958611696,235.917081393392,11.0278763571032,5.38423881887591,262.861832888861,267.536748519439,24.7645428711537,208.031785939877,10.0736691585063,11.2227059401966,9.08111653760081,27.5408230335766,3.88804044455174,3.54396315932014,1.59869927472132,3.49383825169666,0.62369316422046,0.0104470807080259
2022/07/26 13:19,267.470092134594,234.367923363664,10.899704945216,5.02844463869546,262.697029368925,266.245786621334,25.3193826664127,235.389209412342,10.1091454437101,11.0755399399801,9.09084078018184,0,3.82108388690215,3.55446784124089,1.4021378884851,3.50575514778218,0.616752008530054,0
2022/07/26 14:19,264.668437904384,240.070143345429,10.784010396433,4.4640248602954,262.405876483705,263.735277738636,26.1928433341967,202.884415298571,10.2472720452729,10.9296106288411,9.04708168856721,27.5492212430784,3.77055730250166,3.60655355576461,1.09844169263363,3.54533101255999,0.60812610631285,0.00911173956489475
2022/07/26 15:19,263.882876031992,239.103292943897,10.687598272447,4.02233674937944,262.345448526396,262.97718096443,22.1057066245658,77.4742505489888,10.3081485110073,10.8170719227932,8.62186708116045,13.2974597185292,3.69883075261846,3.59196371976356,0.881870003113889,3.53120728386605,0.570657343556872,0.170648743144258
2022/07/26 16:19,262.284285088873,247.843400835022,10.6454037899497,3.45062236964303,261.834557614595,260.774305555323,22.9956476823081,77.5731328025038,10.4441759240965,10.7226713232145,8.4578809903622,13.2833153656841,3.64477084063753,3.59327680500366,0.609163215002365,3.55445258734149,0.551316453429236,0.178464416305526
2022/07/26 17:19,261.993132786518,249.271702564559,10.6957649464788,2.97118469681145,261.807090361272,260.510619720816,22.2650170608283,78.4136319573807,10.587340577996,10.7709021972351,8.44373663751707,12.9716975920648,3.62851753376744,3.60290609676434,0.429955897100506,3.56225006255794,0.546396993570987,0.199397852461081
2022/07/26 18:19,260.790069499428,253.05120867964,10.7175427438968,2.47059268010446,260.757841284348,259.609693119586,22.2595235975089,77.5566524269179,10.6757164127345,10.7750244941599,8.3296977927032,12.7891470381573,3.57498762092357,3.5658479133217,0.254821472787326,3.51914326560664,0.528673460109077,0.213458209203462
2022/07/26 19:19,260.652733507751,261.747368825242,10.7318344234523,1.86076400838563,260.658959172387,259.472356747447,38.0477371774539,77.8532991874628,10.7235779099325,10.7898647630893,8.12372065439597,12.7997553027912,3.5027310719033,3.50092314311707,0.106957727285299,3.47029870387343,0.402923979348906,0.216914386279801
2022/07/26 20:19,259.257399832313,35.3066100117879,10.7776585388527,3.86495572554769,259.258129252933,258.516495597361,84.7311884656835,78.7047852593969,10.777527053704,10.8294388135677,7.1862152673796,12.8094795453722,3.4497311581965,3.44971281875341,0,3.42160126431411,0.346855614937083,0.222727047726372
2022/07/26 21:19,259.103583521635,35.3121034799784,10.7985289280449,3.86495572554769,259.104312634327,258.379159225222,78.1170586291303,144.928427821761,10.79851893844,10.8488136091144,12.5566492382655,5.97687309912086,3.38436459795812,3.38435035346874,0,3.36392937214719,0.239166616944183,0.236748129729249
2022/07/26 22:19,258.94427377129,52.8307735395637,10.8005705965529,2.87179575360369,258.945002565056,258.241822853083,78.375251405142,355.289435257731,10.7995685326768,10.8574704326565,12.5690255470049,27.575741904663,3.32253136530018,3.32219765210431,0.0230207028925307,3.25800140694264,0.629893031439074,0.0166524895496354
2022/07/26 23:19,258.784964020945,64.4055110170005,10.7973946677628,2.1813617371182,258.802172847778,258.098993026059,78.7213395942639,10.0310601932736,10.7821452683459,10.8570582029641,12.5858219660085,23.8641753158952,3.2626414628115,3.25975315401985,0.132988829786854,3.19429750564601,0.631308218521585,0.0191660728778822
2022/07/27 00:19,258.603680511931,58.3517090710416,10.7924039225211,2.55101565983772,258.697797285152,257.939682834378,79.1443362698574,10.6737948411207,10.753596305105,10.8504625278843,12.6043864291178,23.8646173269216,3.20204489480673,3.19468248545521,0.217811265829334,3.12912238261043,0.625917029635832,0.0183020286087974
2022/07/27 01:19,258.405916683916,54.7699678108191,10.7792465032478,2.72426244157602,258.653849679836,257.774879187811,79.4794375323406,14.5796438549607,10.6983876482493,10.8360344886474,12.6194148040157,22.5651049092752,3.14480498800338,3.12888232509051,0.311310736038999,3.06365301522706,0.619649772556145,0.0208156119370442
2022/07/27 02:19,258.235620054237,54.7644743426286,10.7583761140555,2.91829883712292,258.758225242462,257.604582086359,79.803551868185,15.7112963118538,10.593218305722,10.8154230040233,12.630465079676,22.5262079389511,3.09533840187704,3.06235267292576,0.44341415417614,2.99774228132201,0.615606380891831,0.0203835898025018
2022/07/27 03:19,258.1916725369,57.9946336386575,10.7216260809127,3.20041754380624,259.137273338314,257.434284984907,80.0892119607936,16.43643283763,10.4147872854661,10.7915136818592,12.6375372560985,23.2157451401512,3.06035845883055,2.99640661420105,0.611819449951503,2.930360325678,0.617223737557557,0.0193624465754014
2022/07/27 04:19,258.554239554927,63.312310847086,10.6513019434171,3.48016550505525,259.889876079354,257.214546789485,79.2322316829678,255.462306875874,10.1519688885715,10.7754367238524,12.4965357386736,1.8263895611276,3.04498848385558,2.93512930299668,0.798818390370834,2.85871182699103,0.652064295731731,0.0251358332824685
2022/07/27 05:19,259.356281746321,68.948609210565,10.5548898194311,3.78416801574762,260.9665924096,256.851978767038,79.7596041616298,259.104469880341,9.81651857049044,10.772551116005,12.4669209999042,1.94484851620557,3.05170180625844,2.87779124751258,1.00653596339344,2.78103131917436,0.717297681249332,0.0487792264637903
2022/07/27 06:19,260.751615421758,75.3704735252891,10.4457739802847,4.08178775027068,262.213605710447,256.461943470164,79.6881891384777,267.525941804697,9.40927600661225,10.7758489535449,12.595988219616,1.99523777321636,3.09021507688538,2.82366295594872,1.24772209677519,2.69790729092356,0.809419621334623,0.0532958215067338
2022/07/27 07:19,263.948797307997,85.5278962095704,10.0322226813993,4.23388018813357,262.592653806299,254.956736831522,12.2009922596943,78.0071160262638,8.78791621842698,10.5965290373147,6.19699459027322,12.6614058515247,3.02290518647774,2.65777652061688,1.43011689661602,2.47737115225464,0.944131953617357,0.266911129668211
2022/07/27 08:19,269.227992828059,97.7673433380609,9.81966230451743,4.45472424359156,255.670905969,254.715024816558,77.9192939496321,351.092432941875,8.39599773040607,10.6245606564035,12.5951041975632,6.48916387873047,3.10081505962674,2.65062750097637,1.60277216831,2.37114894270229,1.06792712840644,0.408260917142592
2022/07/27 09:19,277.682396475691,111.517494218946,9.60347229473256,4.66517349214525,218.112183775654,253.528438561279,23.6658502072744,80.369303193565,8.14157608740588,10.7416338890688,6.52010465057919,12.785610949946,3.1721882767519,2.62918044205484,1.76338584156789,2.23962171923997,1.29954608091057,0.454644384496647
2022/07/27 10:19,288.949441232866,124.641389726111,9.5061527625209,4.93635029682404,187.370833856981,254.462325891823,31.7577216767451,79.8364377162901,7.91507365110456,10.8545848248092,6.80475975158746,12.9659514487214,3.28454809381031,2.63574586825531,1.94879104101774,2.118834414472,1.46963809025605,0.481822504233316
2022/07/27 11:19,309.840992286761,137.941076215373,9.3709489368842,5.12126844070051,158.332453644311,255.072099384119,40.4648610379882,83.0610978725827,7.80297698661438,10.9547566400826,7.11018937083702,13.5365876838172,3.39655457811068,2.68257924181865,2.07522782459672,2.0114352275285,1.65341024139913,0.478091403980449
2022/07/27 12:19,30.5709999315516,153.487591194559,9.45238882514523,6.09017386320115,135.996083242359,56.956142391539,255.325198386216,332.865137543955,7.75007743707969,8.41418504530876,11.6266580386981,10.4301341902052,4.20250659921208,2.9326490308765,3.00898295038378,2.3124471953181,1.7731620245239,0.58593983865804
2022/07/27 13:19,41.827057809393,162.546320240736,9.55129632175195,6.22913601865861,138.792249630602,62.2847936305254,257.000704698631,332.513556198124,7.95810701481334,8.68914225019504,11.6925176816332,11.0127047230141,4.31327641885929,3.10685167272894,2.99092055272964,2.51959521616256,1.73656932996186,0.748340886506488
2022/07/27 14:19,41.1458712906754,180.05949683213,10.0381208348667,7.01895897835186,155.371483736133,90.5431255618095,353.894410726143,259.197858675327,8.5146018791644,8.53125827797398,11.1850890233141,12.0677850430556,5.09961847188917,3.53316668067937,3.66648964146046,2.41616832791423,2.16779705096097,1.46624384989749
2022/07/27 15:19,38.9375085445104,188.206310158679,10.2382043486445,6.96643784873014,162.458035093368,259.675614578212,352.680355332556,70.080055369483,8.7830880849377,12.1160076838077,11.5272055577557,8.68109655869943,5.00987195134566,3.67570937840954,3.39360577101899,2.48296179486265,2.37380785625777,1.3991625948249
2022/07/27 16:19,19.8917532187533,202.395938494806,10.6311121103941,7.48070724294279,203.142530714828,349.196955393182,132.337541591572,19.7380014133232,9.1735371410271,11.6761586019281,8.61833099294916,2.85539123061091,5.34783473441602,3.91396140030655,3.64258352691821,3.08174904261617,2.47071447647917,0.118452614343632
