TIME_SERVER,MEAN_HEADING,MEAN_GPS_SOG_KNOTS,ADAPTED_MEAN_HEADING
2022-07-13 10:54:00,223.66,8,136.34
2022-07-13 10:59:00,224.2,7.98,135.8
2022-07-13 11:04:00,222.86,7.8,137.14
2022-07-13 11:09:00,225.02,7.54,134.98
2022-07-13 11:14:00,223.12,7.42,136.88
2022-07-13 11:19:00,224.76,8.12,135.24
2022-07-13 11:24:00,222.78,7.88,137.22
2022-07-13 11:29:00,224.42,7.54,135.58
2022-07-13 11:34:00,224.28,7.6,135.72
2022-07-13 11:39:00,223.7,7.72,136.3
2022-07-13 11:44:00,223.3,7.1,136.7
2022-07-13 11:49:00,224.84,7.22,135.16
2022-07-13 11:54:00,221.94,7.32,138.06
2022-07-13 11:59:00,225.4,7.38,134.6
2022-07-13 12:04:00,225.36,8.26,134.64
2022-07-13 12:09:00,222.54,7.9,137.46
2022-07-13 12:14:00,226.4,8.16,133.6
2022-07-13 12:19:00,223.3,8.14,136.7
2022-07-13 12:24:00,222.94,7.74,137.06
2022-07-13 12:29:00,224.1,7.2,135.9
2022-07-13 12:34:00,225.58,8.3,134.42
2022-07-13 12:39:00,222.86,7.64,137.14
2022-07-13 12:44:00,224.8,7.96,135.2
2022-07-13 12:49:00,224.06,8.26,135.94
2022-07-13 12:54:00,223.12,8.18,136.88
2022-07-13 12:59:00,224.66,8.1,135.34
2022-07-13 13:04:00,222.26,7.5,137.74
2022-07-13 13:09:00,225.22,6.8,134.78
2022-07-13 13:14:00,223.24,6.66,136.76
2022-07-13 13:19:00,224.74,6.9,135.26
2022-07-13 13:24:00,223.44,7.08,136.56
2022-07-13 13:29:00,222.84,7.16,137.16
2022-07-13 13:34:00,225.54,7.92,134.46
2022-07-13 13:39:00,224.42,7.58,135.58
2022-07-13 13:44:00,223.38,7.9,136.62
2022-07-13 13:49:00,224.12,7.36,135.88
2022-07-13 13:54:00,222.58,7.2,137.42
2022-07-13 13:59:00,224.34,6.96,135.66
2022-07-13 14:04:00,225.32,7.18,134.68
2022-07-13 14:09:00,224.16,7.42,135.84
2022-07-13 14:14:00,223.8,7.56,136.2
2022-07-13 14:19:00,223.7,7.4,136.3
2022-07-13 14:24:00,222.7,6.9,137.3
2022-07-13 14:29:00,225.34,7.16,134.66
2022-07-13 14:34:00,225.26,7.78,134.74
2022-07-13 14:39:00,220.52,7.06,139.48
2022-07-13 14:44:00,225.5,6.88,134.5
2022-07-13 14:49:00,224.24,7.5,135.76
2022-07-13 14:54:00,224.6,7.86,135.4
2022-07-13 14:59:00,222.84,7.36,137.16
2022-07-13 15:04:00,226.66,6.82,133.34
2022-07-13 15:09:00,226.54,6.86,133.46
2022-07-13 15:14:00,225.76,7.06,134.24
2022-07-13 15:19:00,225.86,7.92,134.14
2022-07-13 15:24:00,227,6.44,133
2022-07-13 15:29:00,225.8,7.5,134.2
2022-07-13 15:34:00,226.36,7.34,133.64
2022-07-13 15:39:00,225.92,6.7,134.08
2022-07-13 15:44:00,224.98,6.94,135.02
2022-07-13 15:49:00,226.98,7.06,133.02
2022-07-13 15:54:00,225.7,7.32,134.3
2022-07-13 15:59:00,225.54,7.18,134.46
2022-07-13 16:04:00,226.1,7.04,133.9
2022-07-13 16:09:00,225.6,7.22,134.4
2022-07-13 16:14:00,226.72,6.82,133.28
2022-07-13 16:19:00,225.76,6.3,134.24
2022-07-13 16:24:00,226.84,7.32,133.16
2022-07-13 16:29:00,225.42,8.02,134.58
2022-07-13 16:34:00,225.64,6.92,134.36
2022-07-13 16:39:00,226.26,6.7,133.74
2022-07-13 16:44:00,226.42,7.24,133.58
2022-07-13 16:49:00,222.4,6.92,137.6
2022-07-13 16:54:00,219.6,6.94,140.4
2022-07-13 16:59:00,219.32,6.9,140.68
2022-07-13 17:04:00,220.96,7.28,139.04
2022-07-13 17:09:00,218.7,7.38,141.3
2022-07-13 17:14:00,219.32,6.4,140.68
2022-07-13 17:19:00,221.56,7.32,138.44
2022-07-13 17:24:00,218.22,6.26,141.78
2022-07-13 17:29:00,221.88,6.9,138.12
2022-07-13 17:34:00,219.92,6.96,140.08
2022-07-13 17:39:00,221.68,6.22,138.32
2022-07-13 17:44:00,223.14,6.58,136.86
2022-07-13 17:49:00,223.04,7.64,136.96
2022-07-13 17:54:00,221.78,7.72,138.22
2022-07-13 17:59:00,220.54,6.94,139.46
2022-07-13 18:04:00,222.84,6.36,137.16
2022-07-13 18:09:00,221.24,6.68,138.76
2022-07-13 18:14:00,222.34,7.36,137.66
2022-07-13 18:19:00,222,7.02,138
2022-07-13 18:24:00,221.94,6.64,138.06
2022-07-13 18:29:00,221.52,6.86,138.48
2022-07-13 18:34:00,222.6,7.32,137.4
2022-07-13 18:39:00,222.22,7.3,137.78
2022-07-13 18:44:00,222.76,8.48,137.24
2022-07-13 18:49:00,220.58,7.52,139.42
2022-07-13 18:54:00,222.26,6.8,137.74
2022-07-13 18:59:00,221.28,6.78,138.72
2022-07-13 19:04:00,223.4,7.68,136.6
2022-07-13 19:09:00,221.64,7.46,138.36
2022-07-13 19:14:00,221.82,7.32,138.18
2022-07-13 19:19:00,221.44,6.6,138.56
